manufacturer_slice,match
hanker,"['hanker', 'shanke', 'shaker', 'hawker', 'hankle']"
pantend,"['pantend', 'patented']"
sunder,"['sunder', 'sundar']"
sylen,"['sylen', 'style']"
mem,"['mem', 'memo', 'meme', 'mm', 'me']"
eased africa seed,"['eased africa seed', 'east africa seed', 'east african seed', 'east africa seeds', 'east african seeds']"
modern farm,"['modern farm', 'modern agro', 'modern agri', 'modern agricem', 'eden farm']"
barozi,"['barozi', 'balozi']"
vetlife know ltd,['vetlife know ltd']
airtel. ltd,"['airtel. ltd', 'airtel ltd', 'itel ltd', 'artet ltd', 'arkel ltd']"
kaburus enterprises,"['kaburus enterprises', 'kamu enterprises', 'dabur enterprise', 'pekab enterprises', 'kuuto enterprises']"
haifa chemicals israel,['haifa chemicals israel']
trans afrika,"['trans afrika', 'trans africa', 'transafrica', 'transafrican', 'transafric']"
faida ltd,"['faida ltd', 'famila ltd', 'fami ltd', 'faida cl']"
maphi chemicals,"['maphi chemicals', 'maxi chemical', 'murphy chemicals', 'mosaic chemicals', 'magadi chemicals']"
wispro ltd,"['wispro ltd', 'wispro(u) ltd', 'wispro (u) ltd', 'pro ltd', 'wispro(u)ltd']"
shanghai agrochina ltd,['shanghai agrochina ltd']
jojemi supa ltd,"['jojemi supa ltd', 'jojemi ea ltd', 'jojemi supa', 'jojemi supplier ltd', 'jojemi  ltd.']"
sosiot ltd,['sosiot ltd']
lultravetis,"['lultravetis', 'ultravetis', 'ultraavetis', 'utravetis', 'ultrvetis']"
gretchen ltd,"['gretchen ltd', 'metuchen ltd']"
syova seeds co.ltd,"['syova seeds co.ltd', 'syova seed co.ltd', 'syova seeds ltd', 'syova eas co.ltd', 'syova seed ltd']"
dunmillfeeds ltd,"['dunmillfeeds ltd', 'unifeed ltd', 'milele feeds ltd', 'hill feeds ltd']"
bioquest international,"['bioquest international', 'cibus international', 'microsta international', 'latest international', 'bajuta international']"
flora co. ltd.,"['flora co. ltd.', 'flora co. ,ltd.', 'flora co. ltd', 'flora co.,ltd.', 'flora co., ltd']"
synagetic,['synagetic']
africasia seed co.,"['africasia seed co.', 'africasia seeds co.', 'africasia seed co.ltd', 'africasia seed', 'africasia seed company']"
galaxy hardware,"['galaxy hardware', 'glory hardware', 'max hardware', 'jay hardware']"
morendat ltd,"['morendat ltd', 'moredat ltd', 'morendat mft ltd', 'renata ltd', 'morendat']"
ctc ltd,"['ctc ltd', 'tcl ltd', 'tci ltd', 'kcc ltd', 'htc ltd']"
breme phama,"['breme phama', 'bremer phama', 'bremet pharma', 'bremer pharma', 'bremier pharma']"
kima chemicals,"['kima chemicals', 'simba chemicals', 'kinlam chemicals', 'kemcha chemicals', 'impact chemicals']"
unique pharmaceutical,"['unique pharmaceutical', 'unique pharmaceutical lab', 'sun pharmaceutical', 'sun pharmaceuticals', 'square pharmaceuticals']"
move suppliers,"['move suppliers', 'vet suppliers', 'vet supplies', 'oat suppliers', 'nyo suppliers']"
sayona ltd,"['sayona ltd', 'syova ltd', 'sonar ltd', 'adona ltd', 'songya ltd']"
suba farm,"['suba farm', 'subafarm', 'supa farm', 'uga farm', 'sun farm']"
magunia ltd.,"['magunia ltd.', 'ngunia ltd', 'muguna ltd', 'manila ltd']"
africure pharmaceuticals,"['africure pharmaceuticals', 'africure pharmaceuticals ltd', 'makcur pharmaceuticals', 'fincare pharmaceutials', 'emcure pharmaceuticals']"
avima ltd,"['avima ltd', 'ava ltd', 'kavian ltd', 'animax ltd', 'mama ltd']"
richfarm,"['richfarm', 'ricfarm', 'richard', 'licfarm']"
ideal chemicals,"['ideal chemicals', 'derail chemicals', 'dera chemicals', 'depa chemicals', 'dela chemicals']"
fsa ltd,"['fsa ltd', 'fusal ltd', 'afs ltd', 'supa ltd', 'soca ltd']"
juan raul,['juan raul']
brown usa,['brown usa']
agrovine supplies,"['agrovine supplies', 'agrovine suppliers', 'agrovin supplies', 'agrins suppliers', 'arise suppliers']"
africa limted,"['africa limted', 'african limited', 'africa ltd', 'oct africa limited', 'africa one limited']"
eldoret grain ltd,"['eldoret grain ltd', 'eldoret grains ltd', 'eldoret grain', 'eldoret grains']"
locally ltd,"['locally ltd', 'local ltd', 'local ltd.']"
saragel ltd,"['saragel ltd', 'arkel ltd', 'ariel ltd']"
chiromo fertilizer,"['chiromo fertilizer', 'chiromo fertilizers', 'chiromo fertilizer ltd', 'chiromo fertilizers ltd', 'chiromo  fertici']"
umbrella ltd,"['umbrella ltd', 'bella ltd', 'umbrella steel ltd']"
gokaycline enterprises,"['gokaycline enterprises', 'gokacycline enterprise', 'golden enterprises']"
diarim enterprisrs l.t.d,"['diarim enterprisrs l.t.d', 'diarim enterprises ltd', 'diarim enterprises']"
elias ltd,"['elias ltd', 'seas ltd', 'kela ltd', 'elys ltd', 'velimax ltd']"
agri limited,"['agri limited', 'agro limited', 'tai limited', 'agrolimited', 'agl limited']"
feed grade,['feed grade']
robno feeds ltd,"['robno feeds ltd', 'robna feeds ltd', 'robin feeds ltd', 'robno feeds co.ltd', 'turbo feeds ltd']"
hurst lab ltd,"['hurst lab ltd', 'hurst labs ltd', 'hurts labs ltd', 'hurst lab']"
geno pharma,"['geno pharma', 'geno pharm', 'gene pharm', 'getz pharma', 'denk pharma']"
adc ltd,"['adc ltd', 'dck ltd', 'acs ltd', 'abc ltd', 'nafdac ltd']"
njonjem enteprise,"['njonjem enteprise', 'njonjem enterprise', 'njonjemi enterprise', 'njonjem enterprises', 'njonjem enteeprises']"
audio bio-tech,"['audio bio-tech', 'audis bio-tech', 'audio bio tech', 'audis biotech', 'audios bio-tech ltd']"
just cali,"['just cali', 'just kali']"
gph limited,"['gph limited', 'rh limited', 'np limited', 'upl limited', 'spc limited']"
alps bio-,"['alps bio-', 'alps bio', 'alphs bio']"
aurbindo pharma ltd,"['aurbindo pharma ltd', 'aurobindo pharma ltd', 'aurobindo pharma', 'amino pharma ltd', 'bio pharma ltd']"
alfasan international bv-k,"['alfasan international bv-k', 'alfasan international bv', 'alfasaan international bv', 'alfasan international', 'alfasan international ltd']"
degro seed,"['degro seed', 'degro seeds']"
animix limited.,"['animix limited.', 'animix limited', 'animix  limited', 'animix limted', 'animex limited']"
ampe,"['ampe', 'amape', 'ape']"
broom ltd,"['broom ltd', 'doom ltd', 'arom ltd']"
maxivet,"['maxivet', 'maxvet', 'maxvets', 'max-vet', 'max vet']"
centre biology,"['centre biology', 'aether centre biology']"
farmbase feeds,"['farmbase feeds', 'farm feeds', 'farmers feeds', 'mamba feeds', 'farmer feed']"
nyonso farm enterprise,"['nyonso farm enterprise', 'nyonaso farm enterprise', 'nyonaso farm enterprises', 'nyonaso farm enterptises', 'magos farm enterprises']"
inter beuty ltd,"['inter beuty ltd', 'interbeauty ltd', 'inter beuty', 'inter beauty']"
alps bioscince ltd,"['alps bioscince ltd', 'alps bioscience ltd', 'alps bio-science ltd', 'alpsbio_science ltd', 'alps bio-science lmd']"
malted,"['malted', 'male']"
jua kali jaffii,['jua kali jaffii']
kito pharmaceutical,"['kito pharmaceutical', 'knight pharmaceutical', 'atoz pharmaceutical', 'agio pharmaceutical', 'biopharmaceutical']"
pitco industry ltd,"['pitco industry ltd', 'pt industries ltd', 'pi industries ltd', 'crown indutry ltd', 'adix industry ltd']"
murphy (e.a.) ltchemicalsd.,['murphy (e.a.) ltchemicalsd.']
agronomic ltd,"['agronomic ltd', 'vet&agronomic ltd', 'vet agronomic ltd', 'agronomic e.a ltd', 'vet &agronomic ltd']"
smartphos ltd,"['smartphos ltd', 'smartphos', 'maxiphos ltd', 'cataphos ltd', 'bestphos ltd']"
simaga,"['simaga', 'sianga', 'saga']"
royal feeds,"['royal feeds', 'roya feeds', 'royol feeds', 'royal seeds', 'royal seed']"
tremor,['tremor']
simlaw seeds.,"['simlaw seeds.', 'simlaw seeds', 'simlaw seesds', 'similaw seeds', 'smlaw seeds']"
alps biosciences,"['alps biosciences', 'alps bioscience', 'alps bio science', 'alp bioscience', 'daps bioscience']"
ifourni company,['ifourni company']
basco ltd,"['basco ltd', 'naseco ltd', 'bags ltd', 'atco ltd', 'dabast co ltd']"
ng'ombe industries,"[""ng'ombe industries"", ""ng'ombe feed industries"", 'ngombe mix industries', ""ng'ombe feeds industries"", 'ngombe feed industries']"
bhi ltd,"['bhi ltd', 'hai ltd', 'bbh ltd', 'beihai ltd', 'thai ltd']"
regal pharmaceutical,"['regal pharmaceutical', 'regal pharmaceuticals', 'regal pharmaceticals', 'regal phamaceuticals', 'regal pharmaceutical ltd']"
rio pham,"['rio pham', 'bio pharm', 'biopham']"
ecofeeds ltd,"['ecofeeds ltd', 'eco feeds ltd', 'ecofeed ltd', 'eco feed ltd', 'confeed ltd']"
bellachem limited,"['bellachem limited', 'bellachem limitend', 'bellchem limited', 'bellachem ltd', 'butachem limited']"
silmax,"['silmax', 'wilmax', 'silmay', 'silmat']"
aspen ltd,"['aspen ltd', 'spenza ltd', 'astena ltd', 'kape ltd', 'apex ltd']"
prestige ltd,"['prestige ltd', 'prestige b ltd', 'prestige broad ltd', 'prestige']"
bio sciene kenya,"['bio sciene kenya', 'bio science kenya', 'bio sciences kenya', 'bioscience kenya', 'bio sciencbie kenya']"
bullvet,['bullvet']
aesthetics animal,"['aesthetics animal', 'aesthetics animal health', 'aesthetic animal health']"
nyo suppliers,"['nyo suppliers', 'nk suppliers', 'oat suppliers', 'ok supplies', 'nk supplies']"
ralis india,"['ralis india', 'rallis india', 'ralis india ltd', 'rallis india ltd']"
east african bus,"['east african bus', 'east africans bus', 'east africa best', 'east african business', 'east african cables']"
karisltd,"['karisltd', 'armis ltd']"
jua kali hinges,['jua kali hinges']
becochem ltd,"['becochem ltd', 'pecolchem ltd', 'biochem ltd', 'eurochem ltd', 'cropchem ltd']"
microstar internatinal,"['microstar internatinal', 'microstar international', 'microsta international', 'microsta  international', 'microstar international ltd']"
transafrican,"['transafrican', 'transafrica', 'trans africa', 'transafric', 'trans afrika']"
sim,"['sim', 'siml', 'sm']"
apocan ltd,['apocan ltd']
hester biosciences limited,"['hester biosciences limited', 'hester biosciences ltd', 'hester biosciences lts', 'biosciences limited', 'alps bioscience limited']"
mutuchem  ltd,"['mutuchem  ltd', 'mutuchem ltd', 'mutuchem ltd.', 'mtuchem ltd', 'mutuchem ent ltd']"
nairobi enterprises,"['nairobi enterprises', 'nairobi enterprise', 'nairobi enterprises ltd', 'nairobi enterprise ltd', 'nfmar enterprises']"
pharmplan ltd,"['pharmplan ltd', 'pharma ltd', 'pharmline ltd', 'pharma ltd.', 'pharmplan']"
lesere farm feeds,"['lesere farm feeds', 'lesere feeds', 'eden farm feeds']"
western seed.ltd,"['western seed.ltd', 'western seed ltd', 'western seeds ltd', 'western seedd', 'western seeds  ltd']"
primus enterprise,"['primus enterprise', 'resi enterprise', 'ritukesh enterprises', 'sj enterprise', 'diarim enterprises']"
henkel ltd,"['henkel ltd', 'shenke ltd']"
diamond china,['diamond china']
omni agricultures,"['omni agricultures', 'omni agriculture', 'omni agricultural', 'omni agriculture ltd', 'omni agriculture lmt']"
units,"['units', 'unit', 'univets']"
aviaron  limited,"['aviaron  limited', 'aviaron limited', 'aviaron ltd', 'kevian k limited', 'havana limited']"
midline limited,['midline limited']
lprochem company limited,"['lprochem company limited', 'iprochem company limited', 'iprochem company ltd', 'merrychem company limited', 'agrohao company limited']"
fortune ltd,"['fortune ltd', 'massfortune ltd']"
eco feed ltd,"['eco feed ltd', 'eco feeds ltd', 'ecofeed ltd', 'ecofeeds ltd', 'conc feed ltd']"
agro allied venture,"['agro allied venture', 'agro allied ventures', 'agrow allied ventures', 'agroalid ventures']"
hebi yuaziuag,['hebi yuaziuag']
fedo chemical,"['fedo chemical', 'fedo chemicals', 'edge chemical', 'dow chemicals', 'fine chemicals']"
rhino seed,"['rhino seed', 'rhino seeds', 'rhino feeds', 'rhinofeeds']"
kenya highland dfap,"['kenya highland dfap', 'kenya highland ltd', 'kenya highland ,', 'kenya highland', 'kenya highlands ltd']"
depa chemicals,"['depa chemicals', 'dera chemicals', 'dela chemicals', 'ndela chemicals', 'ideal chemicals']"
nika,"['nika', 'nik', 'nia']"
thai ltd,"['thai ltd', 'tai ltd', 'hai ltd', 'rhai ltd', 'thabiti ltd']"
vaccines ltd,"['vaccines ltd', 'vaccines']"
georgia ltd,['georgia ltd']
ashish life manufacturer,"['ashish life manufacturer', 'life manufacture']"
national seed,['national seed']
pharmasweed,"['pharmasweed', 'pharma sweed', 'pharmaswed', 'pharma sweede', 'pharmaswede']"
mist,"['mist', 'mit', 'elmist']"
pt mandom indonesia,"['pt mandom indonesia', 'mandom indonesia']"
mini,"['mini', 'mpini', 'minix', 'amini', 'muindi']"
apx.,"['apx.', 'apx']"
amamy green ltd,"['amamy green ltd', 'amamy green']"
boon ltd.,['boon ltd.']
oak medinna,"['oak medinna', 'oak medina', 'oak media', 'oak medika', 'oak medica']"
tc k ltd,"['tc k ltd', 'tcl k ltd', 'tci k ltd', 'tci (k) ltd', 'tci-k ltd']"
lvi ltd,"['lvi ltd', 'lvl  ltd', 'life ltd', 'evin ltd']"
nk.vet supplies ltd,"['nk.vet supplies ltd', 'nk supplies ltd', 'vet supplier ltd', 'nk suppliers ltd', 'n.k.vet supplies']"
amit,"['amit', 'mit']"
sukuma international,"['sukuma international', 'uma international', 'sunda international', 'sunda internationals', 'mark international.']"
c i ltd,"['c i ltd', 'tci ltd', 'c i l', 'tci ltd.', 'tc k ltd']"
higland ltd,"['higland ltd', 'highlands ltd', 'thailand ltd', 'chemiland ltd', 'holland ltd']"
manufactured by orbit,"['manufactured by orbit', 'manufactured by ngombe', 'manufactured by', 'manufactured by east']"
agro-chemist ltd,"['agro-chemist ltd', 'agro-chemicals ltd', 'agrochemicals ltd', 'agrochem  ltd', 'agrochemical ltd']"
afri feeds,"['afri feeds', 'afri- feeds', 'afri feed', 'fari feeds', 'afri-feeds']"
con ltd,"['con ltd', 'crown ltd', 'canon ltd', 'alcon ltd', 'tycoon ltd']"
industriesosho chemical ltd.,"['industriesosho chemical ltd.', 'oindustriessho chemical ltd.', 'oshindustrieso chemical ltd.', 'twigindustriesa chemical ltd.']"
dera chem.,"['dera chem.', 'dera chem', 'dera chems', 'dera  chem', 'derachem']"
zota pharma,"['zota pharma', 'zest pharma', 'zain pharma', 'tasa pharma']"
devi crop science,"['devi crop science', 'devi cropscience', 'vita crop science', 'vital crop science', 'crop science']"
shangdon weifang,"['shangdon weifang', 'shangdong weifang', 'shangong weifang', 'shandong weifang', 'shandong wifang']"
patinum international,"['patinum international', 'uma international', 'haut international', 'ayul international', 'postive international']"
bio medica.,"['bio medica.', 'bio medica', 'bio- medica', 'bio medical', 'biomedica']"
amaya ltd,"['amaya ltd', 'amaan ltd', 'amanta ltd', 'mara ltd', 'mama ltd']"
goodman agencies limited,"['goodman agencies limited', 'goodman agencies ltd', 'goodman agencies']"
e el,"['e el', 'eel']"
shir jir enterprises,['shir jir enterprises']
wiiner feeds,"['wiiner feeds', 'winner feeds', 'winner feed', 'win feeds', 'wonder feeds']"
theon pharmaceticals,"['theon pharmaceticals', 'theon pharmaceuticals', 'theon pharmaceticals ltd', 'theon pharmaceuticals ltd', 'hof pharmaceuticals']"
eascol,"['eascol', 'eacl']"
naseco seeds ltd,"['naseco seeds ltd', 'naseco seeds ltd.', 'naseco seed ltd', 'naseco seed co.ltd', 'naseco seeds']"
jingbo agochemicals,"['jingbo agochemicals', 'jingbo agrochemicals', 'jingbo agrochemical', 'jingo agrochemical', 'jiongboagrochemical']"
megavet,"['megavet', 'mega vet']"
kenya seedco kenya,"['kenya seedco kenya', 'seedco kenya']"
super seeds agrochemicals,['super seeds agrochemicals']
animal pharmaceuticalmed,"['animal pharmaceuticalmed', 'animal pharmaceutical', 'animal phamacautical', 'tanga pharmaceutical', 'nila pharmaceuticals']"
seema ltd,"['seema ltd', 'seesa ltd', 'sera ltd', 'seas ltd', 'edemake ltd']"
orion chemicsld,"['orion chemicsld', 'orion chemical', 'orion chemicals', 'orion chemical ltd']"
rock industries,"['rock industries', 'rok industries', 'rope industries', 'rkay industries', 'pack industries']"
meditec,"['meditec', 'medispec']"
stock farm ltd,"['stock farm ltd', 'stock farm', 'best farm ltd']"
scentry biologicals inc.,['scentry biologicals inc.']
interchem ltd,"['interchem ltd', 'interchemi ltd', 'interchem ltd.', 'interchemie ltd', 'unterchemie ltd']"
vetagrow,"['vetagrow', 'vetagro', 'vetigrow', 'vet agro', 'vetgro']"
alliance pharmaceuticals ltd,"['alliance pharmaceuticals ltd', 'alliance pharmaceutical ltd', 'alliance pharmaceuticals', 'alliance  pharmaceutical', 'lincoln pharmaceuticals ltd']"
eminice chemicals,"['eminice chemicals', 'fine chemicals', 'limin chemicals', 'excel chemicals', 'bench chemicals']"
nutrimix,"['nutrimix', 'niutrimix', 'nutrimax', 'nutrilix', 'nutrifix']"
teo,"['teo', 'tego', 'to']"
shanghai limited,"['shanghai limited', 'shanghai ltd', 'shangai ltd', 'shaghai ltd', 'shanghai gongyoi limited']"
fertiliser &,"['fertiliser &', 'fertilizer &', 'fertilizers &', 'fertilizer']"
western seed. co,"['western seed. co', 'western seed co', 'western seeds co', 'western seed com', 'western seed co.']"
legon feed ltdl,"['legon feed ltdl', 'legon feed ltd', 'eco feed ltd']"
kbc ltd,"['kbc ltd', 'pbc ltd', 'kcc ltd', 'bcf ltd', 'abc ltd']"
cheminova company ltd,['cheminova company ltd']
yara  uk ltd,"['yara  uk ltd', 'yara uk ltd', 'yala uk ltd']"
silent green distributors,['silent green distributors']
care plus ltd,"['care plus ltd', 'careplus ltd', 'careplus limited']"
vitalcrop science,"['vitalcrop science', 'vital crop science', 'vita crop science', 'crop science', 'devi crop science']"
smart farm ltd,"['smart farm ltd', 'smart farm tech', 'mixa farm ltd', 'best farm ltd']"
wamburu,"['wamburu', 'wamureu', 'wambugu', 'kamburu', 'mburu']"
centrofood industries,"['centrofood industries', 'glacier food industries']"
joyma ltd,"['joyma ltd', 'joymax ltd', 'joymaxx ltd', 'joy max ltd', 'josma ltd']"
apec,"['apec', 'pec', 'ape', 'apc']"
sudi chemicals,"['sudi chemicals', 'dile chemicals', 'sygad chemicals', 'sumito chemical', 'simba chemicals']"
starlick supplies,"['starlick supplies', 'stocklick supplies', 'soylick suppliers']"
mint,"['mint', 'mit', 'eminet']"
medipen,"['medipen', 'medispec']"
yifan biotechnology,['yifan biotechnology']
simpak,"['simpak', 'simpark', 'simpack']"
rm,"['rm', 'rim', 'ram', 'prm', 'frm']"
tanga pharmaceuticayl,"['tanga pharmaceuticayl', 'tanga pharmaceutical', 'tanga pharmaceuticals', 'tanga pharmacutical', 'twiga pharmaceutical']"
pharmeline suppliers,"['pharmeline suppliers', 'ameline suppliers', 'amenline suppliers', 'ameline supplies', 'ameline supliers']"
bioscience ltd.,"['bioscience ltd.', 'bioscience ltd', 'biosciences ltd', 'bio science ltd', 'biosciences kltd']"
sj enterprise,"['sj enterprise', 'sjenterprises', 'sawa enterprise', 'resi enterprise', 'sheth enterprise']"
suregel,['suregel']
ndetraco ltd,"['ndetraco ltd', 'dera ltd']"
wellstock (k) ltd,"['wellstock (k) ltd', 'wellstock (k)  ltd.', 'wellstock(k) ltd.', 'well stock ltd']"
